,specaugment0,specaugment1,specaugment2,specaugment3,specaugment4,specaugment5,specaugment6,specaugment7,specaugment8,specaugment9,specaugment10,specaugment11,specaugment12
0,-730.48816,120.503944,3.2198308,-2.70442,-9.25096,-7.493753,-20.736685,-11.345623,-4.27431,-14.584312,-10.212305,-4.5699005,-7.536999
1,-725.5507,127.28061,7.395016,6.4857435,-2.17865,-7.5888004,-20.06539,-12.662381,-4.163343,-12.786126,-9.867359,-7.4368024,-7.818509
2,-762.01587,115.32859,9.573597,-5.9737296,-5.078678,-13.719212,-19.48752,-10.98313,-8.273283,-14.621955,-9.719676,-3.5344045,-6.8577504
3,-757.18787,126.88687,19.128456,-5.768638,-7.7355523,-15.834359,-18.463415,-9.131722,-10.626031,-15.467519,-8.052928,-7.8957148,-10.142234
4,-743.6267,121.59878,2.8597307,-8.688042,-4.4365964,-12.697147,-25.650785,-11.860758,-6.5043344,-14.324159,-9.139251,-4.826102,-6.220009
5,-706.4082,135.42192,-6.564825,-5.89481,-2.8347888,-11.631965,-26.468298,-10.09029,-7.3570256,-19.568213,-10.447486,-5.0875874,-7.88022
6,-730.5215,115.1723,-7.719913,-2.1786056,-1.1318166,-11.950885,-26.340206,-9.268688,-7.759212,-15.622428,-5.8550386,-5.240642,-8.298782
7,-736.198,122.14275,5.35274,1.905347,0.92475265,-8.452953,-27.836742,-13.824072,-5.7445235,-18.308382,-8.566376,-4.34195,-10.044749
8,-731.5065,121.45243,8.128971,3.184946,-7.3615603,-9.295206,-20.046383,-8.980705,-6.0194006,-15.688202,-7.671153,-3.868306,-7.908937
9,-726.31366,115.16001,-14.652938,-4.38153,-3.2362084,-14.520186,-25.52428,-10.748389,-6.103954,-13.424401,-6.36993,-5.6798773,-7.9034147
10,-706.1269,125.80865,-8.388383,5.773162,-1.962328,-14.5202675,-28.486664,-8.557076,-6.150233,-16.852617,-8.931212,-9.883773,-5.9319415
11,-761.8056,113.80246,8.862911,-6.4956098,-5.8871684,-13.013392,-23.082378,-13.144893,-5.117926,-13.251513,-11.149805,-4.993185,-7.0894938
12,-743.84015,122.161995,3.257676,-6.2798424,-1.6697906,-12.171198,-25.966242,-12.595782,-4.5284734,-15.418928,-11.059128,-3.8208084,-8.657719
13,-724.6619,129.13718,5.633421,-3.5861797,-8.452007,-9.771823,-23.126677,-12.401442,-5.1210895,-16.239025,-11.310726,-4.628148,-9.3684025
14,-754.9554,116.22137,7.034751,-7.5840745,-8.441549,-14.151672,-21.117247,-8.974139,-4.4051366,-14.699097,-10.941506,-3.6703444,-6.458003
15,-701.3965,139.97734,-2.0790908,-3.3234203,-3.3147514,-8.143028,-27.200615,-12.01665,-1.9609929,-15.837919,-11.021016,-2.5194492,-8.382824
16,-730.70123,127.316864,-1.8085254,-7.001899,-1.4312569,-13.256863,-29.136925,-13.9950485,-4.4870787,-15.481168,-12.048746,-6.1645494,-8.61782
17,-778.4524,107.300285,15.358534,-9.43996,-11.37595,-13.493913,-18.476358,-9.8887615,-5.647212,-12.06997,-9.138751,-3.3386602,-5.6260123
18,-736.8382,134.42453,12.717385,-8.94103,-9.825894,-11.770548,-16.873207,-9.722428,-6.934261,-14.616321,-10.54086,-3.4145427,-6.849901
19,-671.376,119.34558,6.021384,6.1540647,-2.0200458,2.683501,-1.6271806,-5.8898063,2.366039,-2.4761367,-0.76158535,-1.0993611,0.44436216
20,-744.3737,111.91652,2.0079825,4.3657064,2.7460797,1.3908424,-7.475451,-7.125445,-0.50412637,-1.5326296,-2.9757195,-0.8708516,-0.45618528
21,-688.40515,134.9144,-7.250279,-1.7487367,-5.103039,0.12656176,-11.468067,-9.663273,-1.2338088,-11.7137985,-7.1274543,-2.7769454,-1.1861005
22,-663.1339,111.60361,14.470599,10.797946,4.1523595,6.1218386,5.642403,-1.1562304,3.9995236,-1.0692639,-0.6603127,-2.715044,-0.89670736
23,-747.1041,119.551285,8.057121,-3.956256,-0.61037475,1.5588605,-12.512483,-13.144287,-4.8811607,-8.053896,-7.9753437,-4.146458,-5.36707
24,-688.08765,125.425156,-6.9892073,8.306838,-4.2198825,1.8025404,-6.6743903,-7.4451704,-0.5468509,-12.750321,-5.9975543,-3.6198685,-1.0753015
25,-677.7387,131.07681,-11.245219,6.131852,2.7802546,1.89382,-11.68533,-11.610558,1.5932475,-10.797006,-5.620292,-2.6652899,-1.7128352
26,-662.4802,138.18483,-7.0781093,-0.10079604,3.0172753,4.4085116,-12.588547,-13.192335,-2.1201894,-11.58073,-4.2159004,-3.0105598,-2.9408903
27,-699.80164,121.96048,-4.068062,5.4899855,-2.4058201,3.715077,-7.236708,-7.3997927,0.18185185,-8.822199,-3.622157,-3.1329875,-1.409739
28,-708.23145,113.946686,-5.1833086,3.5248823,-2.2855291,2.1882958,-6.760919,-11.0987015,-0.31939328,-5.974584,-2.9568698,-3.1832428,-0.075857356
29,-735.875,113.84804,-7.0368047,-4.335543,-2.6013904,-1.4257952,-13.482833,-12.492238,-5.593328,-8.702878,-4.337376,-1.122861,-1.3743603
30,-737.08777,106.21728,13.090219,18.834827,4.920829,3.3493392,3.6924236,-2.3465505,2.6199543,-4.798789,-2.8876095,-4.1562023,-1.6144394
31,-663.0894,121.15349,5.9658785,5.8374877,-1.5697302,2.672693,-4.5543737,-7.2568107,1.9099717,-4.249242,-3.0189385,-1.4990382,1.3006419
32,-717.7826,116.35556,-4.4092216,8.084834,1.0303261,2.617763,-2.4962077,-5.6295943,-1.8685175,-6.2469864,-3.2584836,-2.9590716,-3.999795
33,-671.11255,134.71303,-4.5327797,6.458971,-0.41608447,0.22235382,-9.362266,-10.341045,2.5101755,-8.0624275,-8.07476,-6.999519,-2.1597478
34,-701.14514,107.08213,4.376985,9.546607,0.4297635,3.5187597,4.2716546,-2.4439526,0.5899729,-4.034645,-0.28576228,-2.926731,-1.1742547
35,-765.4881,108.0231,10.24801,5.3767962,10.827052,7.9082465,-2.9042435,-2.643121,0.921862,-2.4243846,-2.2988706,-2.2489228,-4.152368
36,-797.0298,86.53725,3.4100842,-10.515843,-0.12341898,-0.6410961,-13.353885,-13.665908,-6.611112,-7.3556333,-7.810216,-3.5960824,-4.2706895
37,-726.15485,122.49696,-9.279885,-6.3396897,2.7445583,1.139349,-14.171757,-12.027995,-2.8436637,-8.105313,-8.331164,-1.6920233,-2.0020401
38,-730.1724,124.90806,-3.2758992,-4.7218275,3.7801204,3.0669405,-10.631954,-10.042985,-1.5092888,-5.6591964,-5.976821,0.22679013,-1.3100142
39,-658.3889,133.7283,-7.5751944,2.5247514,3.8452935,5.9315624,-9.735284,-11.419069,-0.9468827,-6.2057014,-3.5881782,-3.6040695,1.2272803
